beta[2] beta[3] beta[4] progress[1] progress[2] progress[3] progress[4] too_ill_to_move[3] too_ill_to_move[4]
0.3269205351 0.5720909020 0.9388860555 0.4827549488 0.4623432451 0.3749800014 0.2430095858 0.9558062303 0.1730094219
0.3390958799 0.6530618059 0.5253546694 0.3229641909 0.0535475094 0.8492817048 0.7980027110 0.7184225644 0.5731134261
0.4324593723 0.2385967262 0.1134241835 0.2265106792 0.7836963177 0.6093273942 0.9611046096 0.6902083501 0.7571589657
0.4886693821 0.3349739397 0.4300001428 0.5203473009 0.8990394649 0.2595231598 0.5932265816 0.4112778395 0.2176098688
0.5471239194 0.5848330522 0.6264414576 0.4266899497 0.4445978436 0.0665869780 0.4219659691 0.3058107927 0.5836503593
0.0697724480 0.5173971120 0.8027312578 0.5018688056 0.1610734653 0.1640062804 0.6468961482 0.8280141628 0.9331727379
0.8427927890 0.2742648499 0.0898793462 0.3495193310 0.1955143069 0.3515412741 0.6387716340 0.5110300375 0.4114012681
0.9920389391 0.9050409428 0.4012274395 0.1520954413 0.3103139273 0.7728746013 0.3518870357 0.7437428918 0.1936043912
0.1565992032 0.6939240682 0.6900006122 0.4162850330 0.6773421895 0.5986318840 0.3810727877 0.4042127995 0.4107405349
0.4935225794 0.7585320005 0.0618565695 0.6459940070 0.4263192115 0.7121409986 0.0981311756 0.8412623153 0.2574784851
0.6200876096 0.1875115272 0.2588772103 0.3962382752 0.7622280677 0.9810382385 0.5036272857 0.5373554186 0.2002475947
0.7420771091 0.9987776460 0.2538145487 0.6086375776 0.9022562144 0.8252060991 0.4104893015 0.2106566972 0.4790191242
0.7469340029 0.2825787724 0.7127824343 0.0745477726 0.5057575638 0.7951324180 0.8195199995 0.2799899080 0.2243757335
0.9866898696 0.6876037031 0.9024461052 0.5887097531 0.9389210728 0.7031658469 0.5111522235 0.5915382080 0.2453322787
0.3790608231 0.0272611794 0.2075074086 0.8864759716 0.2731364018 0.5241721027 0.4924698755 0.7718585738 0.8132132496
0.3625749508 0.8584421984 0.4654791988 0.9296175001 0.2615237107 0.8939074438 0.5779127428 0.5305305651 0.3742961452
0.2436541508 0.3036187559 0.5698483911 0.6711355618 0.6367338699 0.8163913639 0.8399035532 0.6497209597 0.5909831011
0.2875715858 0.1743882272 0.2676498501 0.5304695928 0.5354179093 0.3209963789 0.3951952261 0.9809617546 0.3162695798
0.8783795217 0.0947087865 0.2123636941 0.7652670671 0.2944616503 0.1205479640 0.6860732436 0.0125101145 0.7810375544
0.3502736442 0.4031026990 0.5000382868 0.1885689058 0.3298747993 0.9073966059 0.0448290480 0.7621809648 0.0762200248
0.7694415391 0.6271712981 0.4773408215 0.1889183959 0.7989108718 0.5196174657 0.6714874735 0.4246741986 0.6353198029
0.9502227708 0.4683640783 0.8448940997 0.8427275759 0.7506443161 0.6291256739 0.7084470574 0.2556074835 0.8432306336
0.6716839134 0.6569533934 0.0721590165 0.8278694618 0.0169644883 0.1454809420 0.8835039998 0.4813534515 0.0851620792
0.4759791842 0.8297112448 0.4213407631 0.3333718693 0.1363630421 0.2156815000 0.9670778675 0.9224520849 0.4753324862
0.7038219328 0.9111941541 0.1486900253 0.0521950502 0.3545812305 0.2307181588 0.4463923603 0.3602108469 0.8995666773
0.2323928960 0.0420945423 0.8573828607 0.3613291720 0.4334240172 0.2682486011 0.5637428951 0.2550509884 0.2403446471
0.1915656039 0.3188366006 0.0517657858 0.4408437132 0.2279795360 0.9571467053 0.8009401500 0.1203427921 0.1405904883
0.8020384850 0.0472025693 0.1787311623 0.0986670148 0.6230758887 0.1823303056 0.2247584501 0.9345382153 0.0646994517
0.2612734446 0.7062220010 0.1234060822 0.8563731122 0.5488957372 0.7794432084 0.1464959335 0.0491392328 0.4282329708
0.2744534663 0.2917072599 0.6455223189 0.5494322010 0.9165550372 0.2081256820 0.4370247273 0.6009968464 0.9830440229
0.7165982109 0.9433629729 0.7806421070 0.1020356092 0.5678580734 0.5753984036 0.0177986518 0.3538367158 0.6302251447
0.8765585323 0.1233717202 0.1588559156 0.8134668321 0.4879488364 0.8660930124 0.1170273261 0.5742285982 0.4892065797
0.1471743545 0.9238941604 0.6834986905 0.1626086137 0.8875713401 0.8053583132 0.2638941072 0.8923985309 0.0936190256
0.0307287002 0.8888719662 0.9539867834 0.1378796856 0.6143514116 0.2909810936 0.9866894183 0.5641178035 0.1228329055
0.5659646546 0.5569823819 0.8952285755 0.9679307158 0.4958884369 0.0467797127 0.6623515304 0.4917712398 0.0543822559
0.3951580861 0.8965493942 0.3448414641 0.1149025894 0.0974676571 0.4565755364 0.7133251056 0.2312785979 0.1182225447
0.3176721299 0.7885975285 0.8412927508 0.7544156543 0.6869383364 0.8844957898 0.0226600967 0.5517878321 0.9972762781
0.1007198890 0.2049138191 0.7288917506 0.2794702466 0.7441150601 0.6949307320 0.2018347048 0.9899328045 0.6614659174
0.6938420964 0.1536532046 0.7558924767 0.9462114206 0.3156062150 0.7511880085 0.1265148561 0.1758259110 0.0409223098
0.1146800027 0.9466197299 0.9318562039 0.3084877208 0.2114453013 0.4083391066 0.5767011484 0.3442465217 0.9135182954
0.2145596278 0.4444240705 0.0343576836 0.0213707266 0.6603059914 0.2436271747 0.1012504263 0.0665684963 0.6918356206
0.0004628432 0.3827795116 0.3805307319 0.7930518551 0.1785334286 0.3812938062 0.6944936118 0.2693917632 0.5462028618
0.5890172551 0.4206916507 0.9582285395 0.8928719902 0.0593276760 0.8420374651 0.9096979602 0.0225194052 0.7457149439
0.5030657872 0.8447964969 0.6670143312 0.7360652143 0.9542567510 0.5877897219 0.9893293867 0.7274311644 0.7253623573
0.9415739844 0.5924778491 0.2264656011 0.3886148178 0.1505123599 0.8775162357 0.8615972565 0.8825757681 0.4357228265
0.9670430667 0.6715807996 0.1395860722 0.5372203516 0.5986360698 0.2488968676 0.3427629797 0.0723726683 0.5235954682
0.6058058601 0.0718617100 0.7542578324 0.8751236880 0.8046051107 0.0406616677 0.7637428064 0.1097075848 0.7402159289
0.8302624246 0.9785327221 0.8299368634 0.6164981415 0.0832351158 0.9993303891 0.2942919435 0.4392870536 0.3031342888
0.2050767911 0.0221060476 0.6431563167 0.2186271265 0.5629609939 0.9416113302 0.5369620935 0.1665888848 0.7142423255
0.0494420443 0.8076966756 0.5925320282 0.2896806199 0.2427150612 0.0693255221 0.0850323635 0.8624677930 0.2956041762
0.8194482600 0.0883354523 0.3407298660 0.1268628567 0.1107029951 0.5055751921 0.9290618944 0.1261031716 0.8301057653
0.5873514005 0.4790021495 0.8168722352 0.2067609564 0.0106319338 0.6685505558 0.1713677772 0.9083610517 0.9590484106
0.1842633354 0.0097228017 0.0010858214 0.6404044163 0.9229215655 0.5600811643 0.7860516965 0.3801534965 0.3401501816
0.0637698852 0.6415022452 0.3667859891 0.8540785426 0.9947456084 0.1913138351 0.2778278678 0.9217588602 0.3317495066
0.4649049502 0.3632272374 0.7706570306 0.9804811460 0.2510862581 0.4218730549 0.8490377099 0.7930944457 0.9458739979
0.4100754408 0.2596650231 0.9115353287 0.0853357689 0.7111222661 0.0938109837 0.1808418481 0.0796900328 0.9049555138
0.6243508987 0.6069212774 0.5549186676 0.9662396306 0.8219381018 0.9484590528 0.4738749463 0.9529965346 0.1454077393
0.4474846211 0.1356856719 0.2369078622 0.6786805056 0.0265544252 0.2850285911 0.1388374285 0.2912811891 0.9724569397
0.8524625292 0.9701383835 0.7378517775 0.0053920366 0.5180608242 0.1433014054 0.9135131851 0.5112385722 0.8791855968
0.9313923707 0.3689455169 0.0123790438 0.4743298676 0.8680018395 0.1681428963 0.9362126083 0.8207928574 0.4515130382
0.0849157511 0.8120625924 0.0266917906 0.9398463980 0.9609993896 0.0324868440 0.0773416925 0.0437545983 0.4653837951
0.1695126162 0.9582792299 0.9812101368 0.7803646818 0.0722638715 0.6345760630 0.9481347098 0.5875420096 0.0020526844
0.9593575471 0.3915932303 0.0835784539 0.0245165267 0.1749036936 0.7229352359 0.0078361287 0.3999030304 0.3626740257
0.5704203976 0.7678976065 0.6602691901 0.2424654016 0.9885811571 0.4509098126 0.6278831505 0.0099168692 0.1039073274
0.0182786470 0.2213974834 0.2921481068 0.0374406311 0.1235367613 0.1107017327 0.7390290392 0.6591060778 0.6194668195
0.9002328781 0.1592668476 0.8777874292 0.2543381344 0.8562656911 0.9667175904 0.1914870976 0.6716809820 0.6083689839
0.7852242461 0.6163436421 0.7952502711 0.6990504333 0.0387284949 0.0066899377 0.0366885620 0.0934121481 0.1842386968
0.0988235161 0.3231467276 0.9717282248 0.9891435027 0.9693701149 0.9248985460 0.3576491976 0.1824884282 0.2845231545
0.1400739895 0.0660638503 0.1097859925 0.9167833593 0.2110988519 0.4403751630 0.1565849977 0.6316467511 0.0146577792
0.8939361432 0.7289588343 0.6199050423 0.6319569706 0.6938167367 0.0128575155 0.0609126998 0.9703824427 0.7997355847
0.9137931509 0.1199682226 0.9990418795 0.4584632241 0.2884031579 0.3384686579 0.8971121496 0.8042290860 0.0228626018
0.3021015491 0.8724672564 0.1941994120 0.3736078021 0.5270069438 0.9125724350 0.4797052825 0.4713747164 0.8485473696
